Group Keys	Text Keys	Base(en)	Vietnamese (vi)	Arabic (ar)	Czech (cs)	German (de)	Greek (el)	Spanish (es)	Estonian (et)	Finnish (fi)	French (fr)	Hindi (hi)	Indonesian (id)	Italian (it)	Japanese (ja)	Khmer (km)	Kannada (kn)	Korean (ko)	Lao (lo)	Latvian (lv)	Malay (ms)	Dutch (nl)	Polish (pl)	Portuguese (pt-PT)	Russian (ru)	Thai (th)	Turkish (tr)	Ukrainian (uk)	Chinese (zh-Hans)
general	total_amount	Total Amount	Tổng số tiền	المبلغ الإجمالي	Celková částka	Gesamtbetrag	Συνολικό Ποσό	Monto Total	Kogusumma	Kokonaismäärä	Montant total	कुल राशि	Jumlah Total	Importo totale	合計金額	ចំនួនសរុប	ಒಟ್ಟು ಮೊತ್ತ	총액	ຈໍານວນທັງຫມົດ	Kopējā summa	Jumlah Jumlah	Totaal bedrag	Całkowita kwota	Montante total	Общая сумма	จำนวนเงินทั้งหมด	Toplam Tutar	Загальна сума	总金额
general	weighing_list	Weighing list	Danh sách cân	قائمة الوزن	Seznam vah	Wiegeliste	Κατάλογος ζύγισης	lista de pesaje	Kaalunimekiri	Punnituslista	Liste de pesée	वजन सूची	Daftar penimbangan	Lista di pesatura	計量リスト	បញ្ជីទម្ងន់	ತೂಕ ಪಟ್ಟಿ	계량 목록	ບັນຊີລາຍຊື່ການຊັ່ງນໍ້າຫນັກ	Svēršanas saraksts	Senarai timbangan	Weeglijst	Lista ważeń	Lista de pesagem	Список взвешивания	รายการชั่งน้ำหนัก	Tartım listesi	Лист зважування	称重清单
general	no_data	No data available	Không có dữ liệu	لا توجد بيانات متاحة	Nejsou k dispozici žádné údaje	Keine Daten verfügbar	Δεν υπάρχουν διαθέσιμα δεδομένα	No hay datos disponibles	Andmed puuduvad	Tietoja ei ole saatavilla	Aucune donnée disponible	कोई डेटा मौजूद नहीं	Tidak ada data yang tersedia	Nessun dato disponibile	利用可能なデータがありません	មិនមានទិន្នន័យទេ។	ಯಾವುದೇ ಡೇಟಾ ಲಭ್ಯವಿಲ್ಲ	데이터가 없습니다	ບໍ່ມີຂໍ້ມູນ	Nav pieejami dati	Tiada data tersedia	Geen gegevens beschikbaar	Brak dostępnych danych	Não há dados disponíveis	Нет доступных данных	ไม่มีข้อมูล	Veri yok	Немає даних	无可用数据
general	update	Update	Cập nhật	تحديث	Aktualizovat	Aktualisieren	Εκσυγχρονίζω	Actualizar	Värskenda	Päivittää	Mise à jour	अद्यतन	Memperbarui	Aggiornamento	アップデート	ធ្វើបច្ចុប្បន្នភាព	ನವೀಕರಿಸಿ	업데이트	ອັບເດດ	Atjaunināt	Kemas kini	Update	Aktualizacja	Atualizar	Обновлять	อัปเดต	Güncelleme	оновлення	更新
general	old_value	Old value:	Giá trị cũ:	القيمة القديمة:	Stará hodnota:	Alter Wert:	Παλιά αξία:	Valor antiguo:	Vana väärtus:	Vanha arvo:	Ancienne valeur :	पुराना मूल्य:	Nilai lama:	Vecchio valore:	古い値:	តម្លៃចាស់៖	ಹಳೆಯ ಮೌಲ್ಯ:	이전 값:	ຄ່າເກົ່າ:	Vecā vērtība:	Nilai lama:	Oude waarde:	Stara wartość:	Valor antigo:	Старое значение:	ค่าเดิม:	Eski değer:	Старе значення:	旧值：
general	export_volume	Export Volume	Khối lượng Xuất	حجم التصدير	Objem exportu	Volumen exportieren	Όγκος εξαγωγής	Volumen de exportación	Ekspordi maht	Vie määrä	Volume d'exportation	निर्यात मात्रा	Volume Ekspor	Volume di esportazione	輸出量	បរិមាណនាំចេញ	ರಫ್ತು ಪರಿಮಾಣ	수출량	ປະລິມານການສົ່ງອອກ	Eksporta apjoms	Jilid Eksport	Exportvolume	Eksportuj wolumen	Volume de exportação	Объем экспорта	ปริมาณการส่งออก	İhracat Hacmi	Обсяг експорту	出口量
general	depreciation	Depreciation	Khấu hao	الاستهلاك	Amortizace	Abschreibung	Απόσβεση	Depreciación	Amortisatsioon	Poistot	Dépréciation	मूल्यह्रास	Depresiasi	Ammortamento	減価償却費	រំលោះ	ಸವಕಳಿ	감가 상각	ຄ່າເສື່ອມລາຄາ	Nolietojums	Susut nilai	Afschrijving	Amortyzacja	Depreciação	Амортизация	ค่าเสื่อมราคา	Amortisman	Амортизація	折旧
general	total_export_amount	Total Export Amount	Tổng tiền Xuất	إجمالي مبلغ التصدير	Celková částka exportu	Gesamtexportmenge	Συνολικό Ποσό Εξαγωγής	Monto total de exportación	Ekspordi kogusumma	Viennin kokonaismäärä	Montant total des exportations	कुल निर्यात राशि	Jumlah Ekspor Total	Importo totale dell'esportazione	輸出総額	បរិមាណនាំចេញសរុប	ಒಟ್ಟು ರಫ್ತು ಮೊತ್ತ	총 수출금액	ຈໍານວນການສົ່ງອອກທັງຫມົດ	Kopējā eksporta summa	Jumlah Amaun Eksport	Totaal exportbedrag	Całkowita kwota eksportu	Valor total de exportação	Общая сумма экспорта	ปริมาณการส่งออกทั้งหมด	Toplam İhracat Tutarı	Загальна сума експорту	出口总额
general	defective_volume	Defective Volume	Khối lượng Dạt	حجم معيب	Vadný svazek	Defektes Volumen	Ελαττωματικός όγκος	Volumen defectuoso	Defektne helitugevus	Viallinen äänenvoimakkuus	Volume défectueux	दोषपूर्ण वॉल्यूम	Volume Rusak	Volume difettoso	欠陥のあるボリューム	កម្រិតសំឡេងខូច	ದೋಷಯುಕ್ತ ಪರಿಮಾಣ	불량량	ປະລິມານທີ່ຜິດປົກກະຕິ	Bojāts skaļums	Kelantangan rosak	Defect volume	Wadliwy wolumen	Volume defeituoso	Дефектный том	ปริมาณที่มีข้อบกพร่อง	Arızalı Hacim	Несправний том	不良卷
general	total_defective_amount	Total Defective Amount	Tổng tiền Dạt	إجمالي المبلغ المعيب	Celková vadná částka	Gesamtfehlerbetrag	Συνολικό ελαττωματικό ποσό	Monto total defectuoso	Puuduste kogusumma	Viallinen kokonaismäärä	Montant total défectueux	कुल दोषपूर्ण राशि	Jumlah Total Cacat	Importo totale difettoso	不良品総額	ចំនួនសរុបដែលខូច	ಒಟ್ಟು ದೋಷಪೂರಿತ ಮೊತ್ತ	총 불량량	ຈໍານວນຂໍ້ບົກພ່ອງທັງຫມົດ	Kopējā defektīvā summa	Jumlah Jumlah Kerosakan	Totaal defect bedrag	Całkowita kwota wadliwa	Quantidade total defeituosa	Общая сумма дефектов	จำนวนข้อบกพร่องทั้งหมด	Toplam Arıza Tutarı	Загальна кількість дефектів	不良品总量
general	bulk_volume	Bulk Volume	Khối lượng Xá	حجم السائبة	Hromadný objem	Massenvolumen	Μαζικός όγκος	Volumen a granel	Hulgi maht	Bulk Volume	Volume en vrac	थोक मात्रा	Volume Massal	Volume di massa	バルクボリューム	បរិមាណច្រើន	ಬೃಹತ್ ಪರಿಮಾಣ	대량 볼륨	ປະລິມານຫຼາຍ	Lielapjoma apjoms	Kelantangan Pukal	Bulkvolume	Objętość zbiorcza	Volume em massa	Массовый объем	ปริมาณมาก	Toplu Hacim	Насипний обсяг	散装体积
general	total_bulk_amount	Total Bulk Amount	Tổng tiền Xá	إجمالي المبلغ السائب	Celková hromadná částka	Gesamtsummenmenge	Συνολικό Μαζικό Ποσό	Cantidad total a granel	Kogumaht	Kokonaismäärä	Montant total en vrac	कुल थोक राशि	Jumlah Jumlah Massal	Importo totale in blocco	合計バルク量	បរិមាណសរុប	ಒಟ್ಟು ಬೃಹತ್ ಮೊತ್ತ	총 대량 금액	ຈຳນວນທັງໝົດ	Kopējā lielapjoma summa	Jumlah Jumlah Pukal	Totaal bulkbedrag	Całkowita ilość zbiorcza	Quantidade total em massa	Общая сумма	จำนวนเงินรวมทั้งหมด	Toplam Toplu Tutar	Загальна оптова кількість	散装总量
general	total_depreciation	Total Depreciation	Tổng khấu hao	إجمالي الاستهلاك	Celkové odpisy	Gesamtabschreibung	Συνολικές αποσβέσεις	Depreciación total	Kogukulum	Kokonaispoistot	Amortissement total	कुल मूल्यह्रास	Total Penyusutan	Ammortamento totale	減価償却費総額	រំលោះសរុប	ಒಟ್ಟು ಸವಕಳಿ	감가상각총액	ຄ່າເສື່ອມລາຄາທັງໝົດ	Kopējais nolietojums	Jumlah Susut Nilai	Totale afschrijving	Całkowita amortyzacja	Depreciação total	Общая амортизация	ค่าเสื่อมราคารวม	Toplam Amortisman	Загальна амортизація	总折旧
general	average_price	Average Price	Giá TB	متوسط ​​السعر	Průměrná cena	Durchschnittspreis	Μέση Τιμή	Precio medio	Keskmine hind	Keskihinta	Prix ​​moyen	औसत कीमत	Harga Rata-Rata	Prezzo medio	平均価格	តម្លៃមធ្យម	ಸರಾಸರಿ ಬೆಲೆ	평균 가격	ລາຄາສະເລ່ຍ	Vidējā cena	Harga Purata	Gemiddelde prijs	Średnia cena	Preço médio	Средняя цена	ราคาเฉลี่ย	Ortalama Fiyat	Середня ціна	平均价格
general	enter_weight	Enter weight	Nhập trọng lượng	أدخل الوزن	Zadejte hmotnost	Gewicht eingeben	Εισαγάγετε βάρος	Introducir peso	Sisestage kaal	Syötä paino	Entrez le poids	वज़न दर्ज करें	Masukkan berat badan	Inserisci il peso	体重を入力してください	បញ្ចូលទម្ងន់	ತೂಕವನ್ನು ನಮೂದಿಸಿ	체중을 입력하세요	ໃສ່ນ້ຳໜັກ	Ievadiet svaru	Masukkan berat	Gewicht invoeren	Wprowadź wagę	Insira o peso	Введите вес	ใส่น้ำหนัก	Ağırlığı girin	Введіть вагу	输入体重
actions	add	Add	Thêm	يضيف	Přidat	Hinzufügen	Προσθέτω	Agregar	Lisa	Lisätä	Ajouter	जोड़ना	Menambahkan	Aggiungere	追加	បន្ថែម	ಸೇರಿಸಿ	추가하다	ເພີ່ມ	Pievienot	Tambah	Toevoegen	Dodać	Adicionar	Добавлять	เพิ่ม	Eklemek	додати	添加
general	enter_info	Enter information	Nhập thông tin	أدخل المعلومات	Zadejte informace	Geben Sie Informationen ein	Εισαγάγετε πληροφορίες	Introduce la información	Sisestage teave	Anna tiedot	Entrez les informations	जानकारी दर्ज करें	Masukkan informasi	Inserisci le informazioni	情報を入力してください	បញ្ចូលព័ត៌មាន	ಮಾಹಿತಿಯನ್ನು ನಮೂದಿಸಿ	정보를 입력하세요	ໃສ່ຂໍ້ມູນ	Ievadiet informāciju	Masukkan maklumat	Voer informatie in	Wprowadź informacje	Insira informações	Введите информацию	ป้อนข้อมูล	Bilgileri girin	Введіть інформацію	输入信息
general	crateID	Crate ID	Mã ky	معرف الصندوق	ID přepravky	Kisten-ID	Ταυτότητα κιβωτίου	ID de caja	Kasti ID	Laatikon tunnus	ID de caisse	टोकरा आईडी	ID peti	ID della cassa	クレートID	លេខសម្គាល់ប្រអប់	ಕ್ರೇಟ್ ಐಡಿ	상자 ID	Crate ID	Kastes ID	ID peti	Krat-ID	Identyfikator skrzynki	ID da caixa	Идентификатор ящика	รหัสลัง	Sandık Kimliği	ID ящика	板条箱 ID
general	vibrate_5_crates	Vibrate when 5 crates entered	Rung báo đủ 5 ky	يهتز عند دخول 5 صناديق	Vibrovat, když vstoupí 5 přepravek	Vibrieren, wenn 5 Kisten betreten werden	Δόνηση όταν μπαίνουν 5 κιβώτια	Vibrar cuando entraron 5 cajas.	Vibreerige, kui siseneb 5 kasti	Värinä, kun sisään tulee 5 laatikkoa	Vibrer lorsque 5 caisses sont entrées	जब 5 टोकरे प्रवेश करें तो कंपन करें	Bergetar ketika 5 peti masuk	Vibra quando entrano 5 casse	5個の箱が入ると振動します	ញ័រនៅពេលប្រអប់ 5 ចូល	5 ಕ್ರೇಟ್‌ಗಳು ಪ್ರವೇಶಿಸಿದಾಗ ಕಂಪಿಸುತ್ತದೆ	상자 5개 진입 시 진동	ສັ່ນເມື່ອ 5 ກ່ອງເຂົ້າ	Vibrējiet, kad ienāk 5 kastes	Bergetar apabila 5 peti masuk	Trillen als er 5 kratten binnenkomen	Wibracja po wejściu do 5 skrzynek	Vibrar quando 5 caixas entrarem	Вибрировать, когда вошли 5 ящиков	สั่นเมื่อใส่ 5 ลัง	5 sandık girildiğinde titret	Вібрувати, коли ввійшли 5 ящиків	当 5 个箱子进入时振动
general	auto_add	Auto Add	Tự động thêm	إضافة تلقائية	Automatické přidání	Automatisch hinzufügen	Αυτόματη προσθήκη	Agregar automáticamente	Automaatne lisamine	Automaattinen lisäys	Ajout automatique	स्वतः जोड़ें	Tambah Otomatis	Aggiunta automatica	自動追加	បន្ថែមដោយស្វ័យប្រវត្តិ	ಸ್ವಯಂ ಸೇರಿಸಿ	자동 추가	ເພີ່ມອັດຕະໂນມັດ	Automātiska pievienošana	Auto Tambah	Automatisch toevoegen	Automatyczne dodawanie	Adicionar automaticamente	Автоматическое добавление	เพิ่มอัตโนมัติ	Otomatik Ekle	Автоматичне додавання	自动添加
general	two_digits	When 2 digits reached	Nhập đủ 2 số	عند الوصول إلى رقمين	Po dosažení 2 číslic	Wenn 2 Ziffern erreicht sind	Όταν φτάσουν τα 2 ψηφία	Cuando se alcanzaron 2 dígitos	Kui 2 numbrit on täis	Kun 2 numeroa on saavutettu	Lorsque 2 chiffres sont atteints	जब 2 अंक पहुंचे	Ketika 2 digit tercapai	Quando vengono raggiunte 2 cifre	2桁になったとき	នៅពេលដែល 2 ខ្ទង់ឈានដល់	2 ಅಂಕೆಗಳನ್ನು ತಲುಪಿದಾಗ	2자리 도달 시	ເມື່ອຮອດ 2 ຕົວເລກ	Kad sasniegti 2 cipari	Apabila 2 digit dicapai	Wanneer 2 cijfers bereikt zijn	Kiedy osiągnięto 2 cyfry	Quando 2 dígitos atingiram	Когда 2 цифры достигли	เมื่อครบ 2 หลักแล้ว	2 haneye ulaşıldığında	Коли досягнуто 2 цифри	当达到2位数时
general	three_digits	When 3 digits reached	Nhập đủ 3 số	عندما تصل إلى 3 أرقام	Po dosažení 3 číslic	Wenn 3 Ziffern erreicht sind	Όταν φτάσουν τα 3 ψηφία	Cuando se alcanzaron los 3 dígitos	Kui 3 numbrit on täis	Kun 3 numeroa on saavutettu	Lorsque 3 chiffres sont atteints	जब 3 अंक पहुंचे	Ketika 3 digit tercapai	Quando si raggiungono le 3 cifre	3桁になったとき	នៅពេលដែល 3 ខ្ទង់ឈានដល់	3 ಅಂಕೆಗಳನ್ನು ತಲುಪಿದಾಗ	3자리 도달 시	ເມື່ອຮອດ 3 ຕົວເລກ	Kad sasniegti 3 cipari	Apabila 3 digit dicapai	Wanneer 3 cijfers bereikt	Kiedy osiągnięto 3 cyfry	Quando 3 dígitos atingirem	Когда 3 цифры достигли	เมื่อครบ 3 หลักแล้ว	3 haneye ulaşıldığında	Коли досягнуто 3 цифри	当达到3位数时
general	total_crate	Total Crate	Tổng ky	إجمالي الصندوق	Celková přepravka	Totale Kiste	Συνολικό Κλουβί	Caja total	Kokku aedik	Koko laatikko	Caisse totale	कुल टोकरा	Jumlah Peti	Cassa totale	トータルクレート	ធុងសរុប	ಒಟ್ಟು ಕ್ರೇಟ್	총 상자	ກ່ອງທັງໝົດ	Kopējā kaste	Jumlah Peti	Totaal krat	Całkowita skrzynia	Caixa Total	Общий ящик	รวมลัง	Toplam Sandık	Total Crate	总板条箱
actions	start	Start	Bắt đầu	يبدأ	Start	Start	Αρχή	Comenzar	Alusta	Aloita	Commencer	शुरू	Awal	Inizio	始める	ចាប់ផ្តើម	ಪ್ರಾರಂಭಿಸಿ	시작	ເລີ່ມ	Sākt	Mulakan	Begin	Start	Começar	Начинать	เริ่ม	Başlangıç	Почніть	开始
