Text Key	Base(en)	Arabic (ar)	Czech (cs)	German (de)	Greek (el)	Spanish (es)	Estonian (et)	Finnish (fi)	French (fr)	Hindi (hi)	Indonesian (id)	Italian (it)	Japanese (ja)	Khmer (km)	Kannada (kn)	Korean (ko)	Lao (lo)	Latvian (lv)	Malay (ms)	Dutch (nl)	Polish (pl)	Portuguese (pt-PT)	Russian (ru)	Thai (th)	Turkish (tr)	Ukrainian (uk)	Chinese (zh-Hans)	Vietnamese (vi)
readmore	Readmore	اقرأ أكثر	Přečtěte si více	Mehr lesen	Διαβάστε περισσότερα	Leer más	Loe rohkem	Lue lisää	En savoir plus	और पढ़ें	Baca selengkapnya	Per saperne di più	続きを読む	អាន​បន្ថែម	ಮತ್ತಷ್ಟು ಓದು	자세히보기	ອ່ານ​ຕື່ມ	Lasīt vairāk	Baca lagi	Lees verder	Czytaj więcej	Consulte Mais informação	Читать далее	อ่านเพิ่มเติม	Devamını oku	Детальніше	阅读更多	Đọc thêm
signIn	Sign in	تسجيل الدخول	Přihlásit se	anmelden	Συνδεθείτε	Iniciar sesión	Logi sisse	Kirjaudu sisään	Se connecter	दाखिल करना	Masuk	Registrazione	サインイン	ចូល	ಸೈನ್ ಇನ್ ಮಾಡಿ	로그인	ເຂົ້າ​ສູ່​ລະ​ບົບ	Ielogoties	Log masuk	Aanmelden	Zalogować się	Entrar	Войти	เข้าสู่ระบบ	Kayıt olmak	Увійти	登入	Đăng nhập
signOut	Sign out	خروج	Odhlásit se	Abmelden	Αποσύνδεση	desconectar	Logi välja	Kirjaudu ulos	se déconnecter	साइन आउट	Keluar	disconnessione	サインアウト	ចាកចេញ	ಸೈನ್ ಔಟ್ ಮಾಡಿ	로그아웃	ອອກ​ຈາກ​ລະ​ບົບ	Izrakstīties	Log keluar	Afmelden	Wyloguj się	sair	выход	ออกจากระบบ	oturumu Kapat	Вийти з аккаунта	登出	Đăng xuất
next	Next	التالي	další	Nächste	Επόμενο	Próximo	Edasi	Seuraava	Suivant	अगला	Berikutnya	Prossimo	次	បន្ទាប់	ಮುಂದೆ	다음	ຕໍ່ໄປ	Nākamais	Seterusnya	Volgende	Następny	Próximo	Следующий	ต่อไป	Sonraki	Далі	下一个	Tiếp theo
previewPost	Preview Post	معاينة المشاركة	Předchozí příspěvek	Vorschau des Beitrags	Επισκόπηση τοποθέτησης	Vista previa de post	Postituse eelvaade	Esikatsele viestiä	Aperçu du message	पूर्वावलोकन पोस्ट	Pratinjau Posting	Anteprima del messaggio	プレビューポスト	មើលសារបង្ហោះជាមុន	ಪೂರ್ವವೀಕ್ಷಣೆ ಪೋಸ್ಟ್	미리보기 게시물	ໂພສຕົວຢ່າງ	Priekšskatīt ziņu	Pratonton Siaran	Voorbeeldbericht	Poprzedni post	Postagem anterior	Предварительный просмотр сообщения	โพสต์ภาพตัวอย่าง	Gönderiyi Önizle	Попередній перегляд публікації	预阅帖子	Xem trước bài đăng
post	Post Photo	نشر الصورة	Přidat fotografii	Foto posten	Δημοσίευση φωτογραφίας	Publicar una foto	Postita foto	Lähetä valokuva	Publier une photo	फ़ोटो पोस्ट करें	Posting Foto	Pubblica foto	写真を投稿する	បង្ហោះរូបថត	ಫೋಟೋ ಪೋಸ್ಟ್ ಮಾಡಿ	사진 게시	ໂພສຮູບ	Izlikt fotoattēlu	Siarkan Foto	Foto plaatsen	Opublikować zdjęcie	Postar foto	Опубликовать фото	โพสต์รูปภาพ	Fotoğraf Gönder	Опублікувати фото	发布照片	Đăng ảnh
uploadPostSuccessMessage	Upload successful, the article will be available after review by the administrator	تم التحميل بنجاح، وستكون المقالة متاحة بعد مراجعتها من قبل المسؤول	Nahrání proběhlo úspěšně, článek bude dostupný po kontrole administrátorem	Hochladen erfolgreich, der Artikel ist nach Überprüfung durch den Administrator verfügbar	Η μεταφόρτωση ήταν επιτυχής, το άρθρο θα είναι διαθέσιμο μετά από έλεγχο από τον διαχειριστή	Carga exitosa, el artículo estará disponible después de que el administrador lo revise.	Üleslaadimine õnnestus, artikkel on saadaval pärast administraatori poolt läbivaatamist	Lataus onnistui, artikkeli on saatavilla järjestelmänvalvojan tarkastelun jälkeen	Téléchargement réussi, l'article sera disponible après examen par l'administrateur	अपलोड सफल, लेख व्यवस्थापक द्वारा समीक्षा के बाद उपलब्ध होगा	Unggahan berhasil, artikel akan tersedia setelah ditinjau oleh administrator	Caricamento riuscito, l'articolo sarà disponibile dopo la revisione da parte dell'amministratore	アップロードが成功しました。記事は管理者によるレビュー後に利用可能になります	បង្ហោះដោយជោគជ័យ អត្ថបទនឹងមានបន្ទាប់ពីការពិនិត្យដោយអ្នកគ្រប់គ្រង	ಅಪ್‌ಲೋಡ್ ಯಶಸ್ವಿಯಾಗಿದೆ, ನಿರ್ವಾಹಕರು ಪರಿಶೀಲಿಸಿದ ನಂತರ ಲೇಖನವು ಲಭ್ಯವಿರುತ್ತದೆ	업로드가 완료되었습니다. 관리자가 검토한 후 기사를 사용할 수 있습니다.	ອັບໂຫຼດສຳເລັດແລ້ວ, ບົດຄວາມຈະມີໃຫ້ຫຼັງຈາກກວດສອບໂດຍຜູ້ເບິ່ງແຍງລະບົບ	Augšupielāde ir veiksmīga, raksts būs pieejams pēc administratora pārskatīšanas	Muat naik berjaya, artikel akan tersedia selepas semakan oleh pentadbir	Upload succesvol, het artikel zal beschikbaar zijn na beoordeling door de beheerder	Przesyłanie powiodło się, artykuł będzie dostępny po sprawdzeniu przez administratora	Upload bem sucedido, o artigo estará disponível após revisão pelo administrador	Загрузка прошла успешно, статья будет доступна после проверки администратором.	อัปโหลดสำเร็จ บทความจะพร้อมใช้งานหลังจากผู้ดูแลระบบตรวจสอบแล้ว	Yükleme başarılı, makale yönetici tarafından incelendikten sonra kullanıma sunulacak	Завантаження пройшло, стаття буде доступна після перегляду адміністратором	上传成功，文章经管理员审核后即可发布	Tải lên thành công, bài viết sẽ hiển thị sau khi được quản trị viên phê duyệt
tabbarExplore	Explore	يستكشف	Prozkoumat	Erkunden	Εξερευνώ	Explorar	Uurige	Tutkia	Explorer	अन्वेषण करना	Mengeksplorasi	Esplorare	探検する	រុករក	ಅನ್ವೇಷಿಸಿ	탐구하다	ສຳຫຼວດ	Izpētīt	Meneroka	Ontdekken	Badać	Explorar	Исследовать	สำรวจ	Keşfetmek	Досліджуйте	探索	Khám phá
create	Create	يخلق	Vytvořit	Erstellen	Δημιουργώ	Crear	Loo	Luoda	Créer	बनाएं	Membuat	Creare	作成する	បង្កើត	ರಚಿಸಿ	만들다	ສ້າງ	Izveidot	Buat	Creëren	Tworzyć	Criar	Создавать	สร้าง	Yaratmak	Створити	创造	Tạo mới
noPhotos	No Photos	لا توجد صور	Žádné fotky	Keine Fotos	Οχι φωτογραφίες	Sin fotos	Fotosid pole	Ei valokuvia	Pas de photos	तस्वीरें नहीं	Tidak ada foto	Niente foto	写真なし	គ្មានរូបថត	ಫೋಟೋಗಳಿಲ್ಲ	사진 없음	ບໍ່ມີຮູບ	Nav fotoattēlu	Tiada Foto	Geen foto's	Brak zdjęć	Não há fotos	Нет фото	ไม่มีรูปถ่าย	Fotoğraf yok	Немає фотографій	没有照片	Không có ảnh
noPhotosMessage	No photos found related to the content you entered._____Please try again with another keyword.	لم يتم العثور على صور ذات صلة بالمحتوى الذي أدخلته.______يرجى المحاولة مرة أخرى باستخدام كلمة رئيسية أخرى.	Nebyly nalezeny žádné fotografie související se zadaným obsahem._____Zkuste to prosím znovu s jiným klíčovým slovem.	Es wurden keine Fotos gefunden, die mit dem von Ihnen eingegebenen Inhalt in Zusammenhang stehen._____Bitte versuchen Sie es erneut mit einem anderen Schlüsselwort.	Δεν βρέθηκαν φωτογραφίες που να σχετίζονται με το περιεχόμενο που εισαγάγατε._____Παρακαλώ δοκιμάστε ξανά με άλλη λέξη-κλειδί.	No se encontraron fotos relacionadas con el contenido que ingresó._____ Inténtelo nuevamente con otra palabra clave.	Sisestatud sisuga seotud fotosid ei leitud._____Proovige uuesti mõne muu märksõnaga.	Antamaasi sisältöön liittyviä kuvia ei löytynyt._____Yritä uudelleen toisella avainsanalla.	Aucune photo trouvée en rapport avec le contenu que vous avez saisi._____Veuillez réessayer avec un autre mot-clé.	आपके द्वारा दर्ज की गई सामग्री से संबंधित कोई फ़ोटो नहीं मिली।_____कृपया किसी अन्य कीवर्ड के साथ पुनः प्रयास करें।	Tidak ditemukan foto terkait dengan konten yang Anda masukkan._____Silakan coba lagi dengan kata kunci lain.	Nessuna foto trovata correlata al contenuto inserito._____Riprova con un'altra parola chiave.	入力したコンテンツに関連する写真は見つかりませんでした。_____別のキーワードでもう一度お試しください。	រកមិនឃើញរូបថតដែលទាក់ទងនឹងខ្លឹមសារដែលអ្នកបានបញ្ចូលទេ។ _____ សូមព្យាយាមម្តងទៀតដោយប្រើពាក្យគន្លឹះផ្សេងទៀត។	ನೀವು ನಮೂದಿಸಿದ ವಿಷಯಕ್ಕೆ ಸಂಬಂಧಿಸಿದ ಯಾವುದೇ ಫೋಟೋಗಳು ಕಂಡುಬಂದಿಲ್ಲ._____ದಯವಿಟ್ಟು ಇನ್ನೊಂದು ಕೀವರ್ಡ್‌ನೊಂದಿಗೆ ಮತ್ತೊಮ್ಮೆ ಪ್ರಯತ್ನಿಸಿ.	입력하신 내용과 관련된 사진을 찾을 수 없습니다._____다른 키워드로 다시 시도해 주세요.	ບໍ່ພົບຮູບທີ່ກ່ຽວຂ້ອງກັບເນື້ອຫາທີ່ທ່ານປ້ອນເຂົ້າ._____ ກະລຸນາລອງອີກຄັ້ງດ້ວຍຄຳສຳຄັນອື່ນ.	Netika atrasts neviens fotoattēls, kas būtu saistīts ar jūsu ievadīto saturu._____Lūdzu, mēģiniet vēlreiz, izmantojot citu atslēgvārdu.	Tiada foto ditemui berkaitan dengan kandungan yang anda masukkan._____Sila cuba lagi dengan kata kunci lain.	Er zijn geen foto's gevonden die verband houden met de inhoud die u heeft ingevoerd._____Probeer het opnieuw met een ander trefwoord.	Nie znaleziono zdjęć związanych z wprowadzoną treścią._____Spróbuj ponownie, używając innego słowa kluczowego.	Não foram encontradas fotos relacionadas ao conteúdo inserido._____Tente novamente com outra palavra-chave.	Не найдено фотографий, связанных с введенным вами содержанием._____Пожалуйста, повторите попытку, указав другое ключевое слово.	ไม่พบรูปภาพที่เกี่ยวข้องกับเนื้อหาที่คุณป้อน_____โปรดลองอีกครั้งด้วยคำหลักอื่น	Girdiğiniz içerikle ilgili fotoğraf bulunamadı._____Lütfen başka bir anahtar kelimeyle tekrar deneyin.	Не знайдено фотографій, пов’язаних із вмістом, який ви ввели._____Будь ласка, спробуйте ще раз із іншим ключовим словом.	未找到与您输入的内容相关的照片。_____请使用其他关键字重试。	Không tìm thấy ảnh nào liên quan đến nội dung bạn đã nhập._____Vui lòng thử lại bằng từ khóa khác.
feetCare	Feet care	العناية بالقدمين	Péče o nohy	Fußpflege	Περιποίηση ποδιών	cuidado de los pies	Jalgade hooldus	Jalkojen hoito	Soins des pieds	पैरों की देखभाल	Perawatan kaki	Cura dei piedi	フットケア	ការថែរក្សាជើង	ಪಾದಗಳ ಆರೈಕೆ	발 관리	ການດູແລຕີນ	Kāju kopšana	Penjagaan kaki	Voetverzorging	Pielęgnacja stóp	Cuidados com os pés	Уход за ногами	การดูแลเท้า	Ayak bakımı	Догляд за ногами	足部护理	Chăm sóc bàn chân
pedicure	Pedicure	باديكير	Pedikúra	Pediküre	Πεντικιούρ	Pedicure	Pediküür	Pedikyyri	Pédicure	पेडीक्योर	Pedikur	Pedicure	ペディキュア	លាបជើង	ಪಾದೋಪಚಾರ	페디큐어	ເລັບຕີນ	Pedikīrs	Pedikur	Pedicure	Pedicure	Pedicure	Педикюр	ทำเล็บเท้า	Pedikür	педикюр	修脚	Làm móng chân
heels	Heels	الكعب	Podpatky	Absätze	Τακούνια	Tacones	Kontsad	Korkokengät	Talons	हील	sepatu hak	Tacchi	かかと	កែងជើង	ನೆರಳಿನಲ್ಲೇ	뒷굽	ສົ້ນຕີນ	Papēži	Tumit	Hakken	Obcasy	Salto	Каблуки	รองเท้าส้นสูง	Topuklular	Каблуки	高跟鞋	Giày cao gót
feet	Feet	قدم	Chodidla	Füße	Πόδια	Pies	Jalad	Jalat	Pieds	पैर	Kaki	Piedi	足	ជើង	ಪಾದಗಳು	피트	ຕີນ	Pēdas	kaki	Voeten	Stopy	Pés	Ноги	เท้า	Ayak	Ноги	脚	Bàn chân
foot	Foot	قدم	Chodidlo	Fuß	Πόδι	Pie	Jalg	Jalka	Pied	पैर	Kaki	Piede	足	ជើង	ಪಾದ	발	ຕີນ	Pēda	kaki	Voet	Stopa	Pé	Ступня	เท้า	Ayak	стопа	脚	Chân
meshTights	Mesh Tights	الجوارب شبكة	Síťované punčochy	Netzstrumpfhose	Διχτυωτό καλσόν	Medias de malla	Võrgust sukkpüksid	Verkkosukkahousut	Collants en maille	जालीदार चड्डी	Celana Ketat Jaring	Collant a rete	メッシュタイツ	ក្រណាត់សំណាញ់	ಮೆಶ್ ಟೈಟ್ಸ್	메쉬 스타킹	ຕາຫນ່າງ Tights	Tīkla zeķubikses	Pakaian Ketat Mesh	Mesh panty's	Rajstopy siateczkowe	Meias de malha	Сетчатые колготки	กางเกงรัดรูปตาข่าย	File Tayt	Колготки в сіточку	网眼裤袜	Quần lưới
sandals	Sandals	صنادل	Sandály	Sandalen	Σανδάλια	Sandalias	Sandaalid	Sandaalit	Des sandales	सैंडल	Sandal	Sandali	サンダル	ស្បែកជើងកវែង	ಸ್ಯಾಂಡಲ್ಗಳು	샌들	ເກີບແຕະ	Sandales	sandal	Sandalen	Sandały	Sandálias	Сандалии	รองเท้าแตะ	Sandalet	Босоніжки	凉鞋	Dép xăng đan
toes	Toes	أصابع القدم	Prsty u nohou	Zehen	Δάχτυλα των ποδιών	Dedos de los pies	Varbad	Varpaat	Orteils	पैर की उँगलियाँ	Jari kaki	Dita dei piedi	つま先	ម្រាមជើង	ಕಾಲ್ಬೆರಳುಗಳು	발가락	ຕີນ	Kāju pirksti	Jari kaki	Tenen	Palce u stóp	Dedos do pé	Пальцы ног	นิ้วเท้า	Ayak parmakları	Пальці ніг	脚趾	ngón chân
awesome	Awesome	مذهل	Skvělý	Eindrucksvoll	Φοβερός	Impresionante	Vinge	Mahtava	Génial	बहुत बढ़िया	Luar biasa	Eccezionale	素晴らしい	អស្ចារ្យ	ಅದ್ಭುತ	엄청난	ສຸດຍອດ	Satriecošs	Hebat	Geweldig	Wspaniały	Incrível	Потрясающий	สุดยอด	Mükemmel	приголомшливо	惊人的	Tuyệt vời
tattoo	Tattoo	وشم	Tetování	Tätowieren	Τατουάζ	Tatuaje	Tätoveering	Tatuointi	Tatouage	टटू	Tato	Tatuaggio	入れ墨	សាក់	ಟ್ಯಾಟೂ	타투	ສັກ	Tetovējums	Tatu	Tatoeëren	Tatuaż	Tatuagem	Тату	สัก	Dövme	татуювання	纹身	Xăm hình
socks	Socks	جوارب	Ponožky	Socken	Κάλτσες	Medias	Sokid	Sukat	Chaussettes	मोज़े	Kaus kaki	Calzini	靴下	ស្រោមជើង	ಸಾಕ್ಸ್	양말	ຖົງຕີນ	Zeķes	stokin	Sokken	Skarpety	Meias	Носки	ถุงเท้า	Çorap	Шкарпетки	袜子	Tất
highHeels	High Heels	كعب عالي	Vysoké podpatky	High Heels	Ψηλοτάκουνα	Tacones altos	Kõrged kontsad	Korkokengät	Talons hauts	ऊँची एड़ी के जूते	sepatu hak tinggi	Tacchi alti	ハイヒール	ស្បែកជើង​កែង	ಹೆಚ್ಚು ಎತ್ತರದ ಚಪ್ಪಲಿಗಳು	하이힐	ສົ້ນ​ສູງ	Augstpapēžu kurpes	Tumit tinggi	Hoge hakken	Wysokie obcasy	Salto alto	Высокие каблуки	รองเท้าส้นสูง	Yüksek topuklu	Високі підбори	高跟鞋	Cao gót
mystery	Mystery	أُحجِيَّة	Tajemství	Geheimnis	Μυστήριο	Misterio	Müsteerium	Mysteeri	Mystère	रहस्य	Misteri	Mistero	神秘	អាថ៌កំបាំង	ರಹಸ್ಯ	신비	ຄວາມລຶກລັບ	Noslēpums	Misteri	Mysterie	Tajemnica	Mistério	Тайна	ความลึกลับ	Gizem	Таємниця	神秘	Bí ẩn
maleFeet	Male Feet	أقدام الذكور	Mužské nohy	Männliche Füße	Αρσενικά πόδια	Pies masculinos	Meeste jalad	Miesten jalat	Pieds masculins	पुरुष पैर	Kaki Laki-Laki	Piedi maschili	男性の足	ជើងបុរស	ಪುರುಷ ಪಾದಗಳು	남성 발	ຕີນຊາຍ	Vīriešu pēdas	Kaki Lelaki	Mannelijke voeten	Męskie stopy	Pés Masculinos	Мужские ноги	เท้าชาย	Erkek Ayakları	Чоловічі ноги	男脚	Bàn chân nam
signOutVerify	Are you sure you want to sign out?	هل أنت متأكد أنك تريد الخروج؟	Opravdu se chcete odhlásit?	Möchten Sie sich wirklich abmelden?	Είστε βέβαιοι ότι θέλετε να αποσυνδεθείτε;	¿Estás seguro de que deseas cerrar sesión?	Kas olete kindel, et soovite välja logida?	Haluatko varmasti kirjautua ulos?	Êtes-vous certain de vouloir vous déconnecter?	क्या आप द्वारा साइन आउट किया जाना सुनिश्चित है?	Apakah Anda yakin ingin keluar?	Sei sicuro di voler uscire?	サインアウトしてもよろしいですか?	តើ​អ្នក​ប្រាកដ​ជា​ចង់​ចេញ?	ನೀವು ಸೈನ್ ಔಟ್ ಮಾಡಲು ಖಚಿತವಾಗಿ ಬಯಸುವಿರಾ?	정말로 로그아웃하시겠습니까?	ທ່ານແນ່ໃຈບໍ່ວ່າຕ້ອງການອອກຈາກລະບົບ?	Vai tiešām vēlaties izrakstīties?	Adakah anda pasti mahu log keluar?	Weet u zeker dat u zich wilt afmelden?	Czy na pewno chcesz się wylogować?	Você tem certeza que deseja sair?	Вы уверены, что хотите выйти?	คุณแน่ใจว่าคุณต้องการที่จะออกจากระบบ?	Oturumu kapatmak istediğinizden emin misiniz?	Ви впевнені, що бажаєте вийти?	您确定要退出吗？	bạn có chắc chắn muốn đăng xuất không?
caption	Caption	التسمية التوضيحية	Titulek	Untertitel	Λεζάντα	Subtítulo	Pealkiri	Kuvateksti	Légende	कैप्शन	Keterangan	Didascalia	キャプション	ចំណងជើង	ಶೀರ್ಷಿಕೆ	표제	ຄຳບັນຍາຍ	Paraksts	Kapsyen	Ondertiteling	Podpis	Rubrica	Подпись	คำบรรยายภาพ	Altyazı	Підпис	标题	Nội dung
register	Register	يسجل	Registrovat	Registrieren	Κανω ΕΓΓΡΑΦΗ	Registro	Registreeri	Rekisteröidy	Registre	पंजीकरण करवाना	Daftar	Registrati	登録する	ចុះឈ្មោះ	ನೋಂದಣಿ	등록하다	ລົງທະບຽນ	Reģistrēties	Daftar	Register	Rejestr	Registro	регистр	ลงทะเบียน	Kayıt olmak	зареєструватися	登记	Đăng ký
loginNotice1	By continuing with account, you agree to our	من خلال الاستمرار في الحساب، فإنك توافق على لدينا	Pokračováním v účtu souhlasíte s naším	Indem Sie mit dem Konto fortfahren, stimmen Sie unserem zu	Συνεχίζοντας με τον λογαριασμό, συμφωνείτε με το δικό μας	Al continuar con la cuenta, aceptas nuestra	Kontoga jätkates nõustute meiega	Jatkamalla tilin käyttöä hyväksyt meidän	En poursuivant votre compte, vous acceptez notre	खाता जारी रखकर, आप हमारी बात से सहमत हैं	Dengan melanjutkan dengan akun, Anda menyetujui kami	Continuando con l'account, accetti i nostri	アカウントを続行すると、次のことに同意したことになります	ដោយបន្តជាមួយគណនី អ្នកយល់ព្រមចំពោះរបស់យើង។	ಖಾತೆಯೊಂದಿಗೆ ಮುಂದುವರಿಯುವ ಮೂಲಕ, ನೀವು ನಮ್ಮ ಸಮ್ಮತಿಸುತ್ತೀರಿ	계정을 계속 사용하면 다음 내용에 동의하게 됩니다.	ໂດຍການສືບຕໍ່ບັນຊີ, ທ່ານຕົກລົງເຫັນດີກັບພວກເຮົາ	Turpinot lietot kontu, jūs piekrītat mūsu	Dengan meneruskan akaun, anda bersetuju dengan kami	Als u doorgaat met uw account, gaat u akkoord met onze	Kontynuując korzystanie z konta, wyrażasz zgodę na nasze	Ao continuar com a conta, você concorda com nossos	Продолжая использовать учетную запись, вы соглашаетесь с нашими	การดำเนินการบัญชีต่อแสดงว่าคุณยอมรับของเรา	Hesapla devam ederek şunları kabul etmiş olursunuz:	Продовжуючи роботу з обліковим записом, ви погоджуєтеся з нашими	继续使用帐户即表示您同意我们的	Bằng cách tiếp tục với tài khoản, bạn đồng ý với chúng tôi về
loginNotice2	and acknowledge that you have read our	وأقر بأنك قد قرأت لدينا	a potvrďte, že jste si přečetli naše	und bestätigen Sie, dass Sie unsere gelesen haben	και αναγνωρίστε ότι έχετε διαβάσει το δικό μας	y reconoce que ha leído nuestra	ja kinnitage, et olete meiega tutvunud	ja vahvista, että olet lukenut meidän	et reconnaissez que vous avez lu notre	और स्वीकार करें कि आपने हमारा पढ़ा है	dan mengakui bahwa Anda telah membaca kami	e riconosci di aver letto il nostro	そして、あなたが私たちを読んだことを認めます	ហើយទទួលស្គាល់ថាអ្នកបានអានរបស់យើង។	ಮತ್ತು ನೀವು ನಮ್ಮದನ್ನು ಓದಿದ್ದೀರಿ ಎಂದು ಒಪ್ಪಿಕೊಳ್ಳಿ	그리고 당신이 우리의 내용을 읽었음을 인정합니다	ແລະຮັບຮູ້ວ່າທ່ານໄດ້ອ່ານຂອງພວກເຮົາ	un apstipriniet, ka esat izlasījis mūsu	dan mengakui bahawa anda telah membaca kami	en erken dat u onze hebt gelezen	i potwierdź, że przeczytałeś nasze	e reconheça que você leu nosso	и подтвердите, что вы прочитали нашу	และรับทราบว่าคุณได้อ่านของเราแล้ว	ve yazımızı okuduğunuzu kabul edin	і підтвердьте, що ви прочитали наш	并确认您已阅读我们的	và xác nhận rằng bạn đã đọc
youDoneHaveAccount	You don't have an account yet?	ليس لديك حساب بعد؟	Ještě nemáte účet?	Sie haben noch kein Konto?	Δεν έχετε λογαριασμό ακόμα;	¿Aún no tienes una cuenta?	Kas teil pole veel kontot?	Eikö sinulla ole vielä tiliä?	Vous n'avez pas encore de compte ?	आपके पास अभी तक कोई खाता नहीं है?	Anda belum memiliki akun?	Non hai ancora un account?	まだアカウントをお持ちではありませんか?	អ្នកមិនទាន់មានគណនីទេ?	ನೀವು ಇನ್ನೂ ಖಾತೆಯನ್ನು ಹೊಂದಿಲ್ಲವೇ?	아직 계정이 없나요?	ເຈົ້າຍັງບໍ່ມີບັນຊີບໍ?	Jums vēl nav konta?	Anda belum mempunyai akaun?	Heeft u nog geen account?	Nie masz jeszcze konta?	Você ainda não tem uma conta?	У вас еще нет учетной записи?	คุณยังไม่มีบัญชี?	Henüz bir hesabınız yok mu?	Ви ще не маєте облікового запису?	您还没有帐户？	Bạn chưa có tài khoản?
email	Email	بريد إلكتروني	E-mailem	Email	ΗΛΕΚΤΡΟΝΙΚΗ ΔΙΕΥΘΥΝΣΗ	Correo electrónico	Meil	Sähköposti	E-mail	ईमेल	Surel	E-mail	Eメール	អ៊ីមែល	ಇಮೇಲ್	이메일	ອີເມວ	E-pasts	E-mel	E-mail	E-mail	E-mail	Электронная почта	อีเมล	E-posta	Електронна пошта	电子邮件	Email
enterFullName	Enter your fullname	أدخل اسمك الكامل	Zadejte své celé jméno	Geben Sie Ihren vollständigen Namen ein	Εισαγάγετε το πλήρες όνομά σας	Introduce tu nombre completo	Sisestage oma täisnimi	Kirjoita koko nimesi	Entrez votre nom complet	अपना पूरा नाम भरें	Masukkan nama lengkapmu	Inserisci il tuo nome e cognome	フルネームを入れて下さい	បញ្ចូល​នូវ​នាម​និង​គោត្តនាម​របស់​អ្នក	ನಿಮ್ಮ ಪೂರ್ಣ ಹೆಸರನ್ನು ನಮೂದಿಸಿ	당신의 성명을 입력하십시오	ໃສ່ຊື່ເຕັມຂອງເຈົ້າ	Ievadiet savu pilno vārdu	Masukkan nama penuh anda	Vul uw volledige naam in	Wprowadź swoje imię i nazwisko	Escreva seu nome completo	Введите свое полное имя	กรอกชื่อเต็มของคุณ	Ad ve soyadınızı girin	Введіть Ваше повне ім'я	输入您的全名	Nhập tên đầy đủ của bạn
fullname	Fullname	الاسم الكامل	Celé jméno	Vollständiger Name	Πλήρες όνομα	Nombre completo	Täisnimi	Koko nimi	Nom et prénom	पूरा नाम	Nama lengkap	Nome e cognome	フルネーム	ឈ្មោះ​ពេញ	ಪೂರ್ಣ ಹೆಸರು	성명	ຊື່​ເຕັມ	Pilnais vārds	Nama penuh	Voor-en achternaam	Imię i nazwisko	Nome completo	Полное имя	ชื่อเต็ม	Ad Soyad	Повне ім'я	全名	Tên đầy đủ
pwNotMatch	Passwords do not match	كلمة المرور غير مطابقة	Hesla se neshodují	Passwörter stimmen nicht überein	Οι κωδικοί πρόσβασης δεν ταιριάζουν	Las contraseñas no coinciden	Paroolid ei kattu	Salasanat eivät täsmää	Les mots de passe ne correspondent pas	सांकेतिक शब्द मेल नहीं खाते	Sandi tidak cocok	le passwords non corrispondono	パスワードが一致していません	ពាក្យសម្ងាត់មិនត្រូវគ្នាទេ។	ಗುಪ್ತಪದಗಳುತಾಳೆಯಾಗುತ್ತಿಲ್ಲ	비밀번호가 일치하지 않습니다	ລະຫັດຜ່ານບໍ່ກົງກັນ	Paroles nesakrīt	Kata laluan tidak sepadan	Wachtwoorden komen niet overeen	Hasła nie pasują do siebie	As senhas não coincidem	Пароли не совпадают	รหัสผ่านไม่ตรงกัน	Parolalar uyuşmuyor	Паролі не збігаються	密码不匹配	Mật khẩu không phù hợp
pwTooLong	Your password can't be longer 50 characters	لا يمكن أن تزيد كلمة المرور الخاصة بك عن 50 حرفًا	Vaše heslo nemůže být delší 50 znaků	Ihr Passwort darf nicht länger als 50 Zeichen sein	Ο κωδικός πρόσβασής σας δεν μπορεί να έχει περισσότερους από 50 χαρακτήρες	Su contraseña no puede tener más de 50 caracteres	Teie parool ei tohi olla pikem kui 50 tähemärki	Salasanasi ei voi olla 50 merkin pituinen	Votre mot de passe ne peut pas contenir plus de 50 caractères	आपका पासवर्ड 50 अक्षरों से अधिक लंबा नहीं हो सकता	Kata sandi Anda tidak boleh lebih dari 50 karakter	La tua password non può contenere più di 50 caratteri	パスワードは 50 文字以内にしてください	ពាក្យសម្ងាត់របស់អ្នកមិនអាចលើសពី 50 តួអក្សរបានទេ។	ನಿಮ್ಮ ಪಾಸ್‌ವರ್ಡ್ 50 ಅಕ್ಷರಗಳಿಗಿಂತ ಹೆಚ್ಚು ಇರುವಂತಿಲ್ಲ	비밀번호는 50자 이하여야 합니다.	ລະຫັດຜ່ານຂອງທ່ານບໍ່ສາມາດມີ 50 ຕົວອັກສອນໄດ້	Jūsu parole nedrīkst būt garāka par 50 rakstzīmēm	Kata laluan anda tidak boleh melebihi 50 aksara	Uw wachtwoord mag niet langer zijn dan 50 tekens	Twoje hasło nie może mieć więcej niż 50 znaków	Sua senha não pode ter mais de 50 caracteres	Ваш пароль не может быть длиннее 50 символов	รหัสผ่านของคุณต้องมีความยาวไม่เกิน 50 ตัวอักษร	Şifreniz 50 karakterden uzun olamaz	Ваш пароль не може містити більше 50 символів	您的密码不能超过 50 个字符	Mật khẩu của bạn không thể dài hơn 50 ký tự
